,store,type,address	,plus_code,latitude,longitude,amenities,menu coffee,menu non coffee,rating,count_rating
0,NAP's Coffee & Roasters,['speedbar'],"49, 1 ถนน ศรีณรงค์ ตำบลในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000",6VH8+F5 เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.22891997,104.8653647,['Toilets'],"hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Red Plum Sparking,Honey Lemon Sparking,Lychee Sparking,Mint Lime Sparking,Vanilla Milk,Hazelnut Milk,Caramel Milk,Peach Tea,Apple tea,Taro Latte,Thai tea,Lemon tea,matcha,cocoa",4.6,178
1,sangob,['speedbar'],149 ถนน พรหมเทพ ในเมือง เมือง อุบลราชธานี 34000,6VG5+3Q เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.22538948,104.8593951,"['Free Wi-Fi', 'Toilets']","espresso,americano,cappuccino,mocha,latte,cold brew,americano yuzu,iced espresso coconut,latte coconut,latte mint,house blend caramel macchiato","milk caremel,matcha milk,apple tea,peach tea,cocoa mint",4.7,57
2,SongSarn,['slowbar'],"ถ.พรหมเทพ ซอย.ข้างร้านรานี ที่มีStreet Art Mueang, ในเมือง, เมือง, อุบลราชธานี 34000",6VG5+4C เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.22541616,104.858555,['Toilets'],"espresso,americano,cappuccino,mocha,latte,cold brew","cocoa,matcha,peach tea,vanilla ginger,thai tea,milk careme,jasmine green tea",4.6,52
3,LIFE Roasters,"['hybrid', 'bakery']",202/3 ถนนสุริยาตร์ ตำบล ในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,6VQ6+3F เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.2375385,104.8612308,['Toilets'],"sparkling americano,tonic americano,caramel macchiato,coconut cold brew,orange cold brew,lemon honey cold brew,pure cold brew,yuzu honey cold brew,espresso,americano,cappuccino,mocha,latte","Iced cocoa,Iced cocoa mint,Iced matcha latte,Iced green tea latte,Iced ceylon tea latte,Iced yuzu honey soda,Iced matcha coconut,Hot matcha latte,Hot cocoa",4.6,255
4,Nap x Warin,['speedbar'],16 ถนนเทศบาล 9 ตำบล วารินชำราบ อำเภอวารินชำราบ อุบลราชธานี 34190,5VR6+8Q ตำบล วารินชำราบ อำเภอวารินชำราบ อุบลราชธานี,15.19085745,104.8619335,"['Free Wi-Fi', 'Good for kids', 'Toilets', 'Bar on site']","Espresso Sparkling Yuzu,Lychee Espresso Tonic,Espresso Sparkling Lime,hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Matcha Sparkling Yuzu,Yuzu Black Lemon Tea,Choco Mint,Black Tropicana,Taro Latte,Lemon tea,Thai tea,Cocoa,Matcha",4.5,87
5,BalconyKiss Coffee,['speedbar'],141 ถนน พิชิตรังสรรค์ ตำบล ในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,6VM6+4V เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.23294259,104.8621598,"['Toilets', 'Good for kids']","espresso,americano,cappuccino,mocha,latte,long black,macchiato","mixed berry smoothie,strawberry smoothie,blueberry smoothie,kiwi smoothie,milk,fresh milk caremel,vanilla milk,mint milk,matcha,maru matcha,maru matcha soy milk,lemon tea,thai tea,green tea",4.5,133
6,Anna Roasters,"['speedbar', 'bakery']",85/7 ถนน พิชิตรังสรรค์ ตำบล ในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,6VM8+89 เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.23329305,104.8659386,"['Free Wi-Fi', 'Good for kids', 'Toilets', 'Bar on site', 'Gender-neutral toilets']","espresso,americano,cappuccino,mocha,latte,macchiato,latte mint","cocoa,matcha,peach tea,thai tea,green tea,apple tea,cocoa mint,lemon tea,jasmine tea",4.6,233
7,ROOF COFFEE,"['speedbar', 'bakery']",136 ถนน ราชบุตร ตำบล ในเมือง อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,6VG5+VJ เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.22715529,104.8590805,"['Free Wi-Fi', 'Toilets']","espresso,americano,cappuccino,mocha,latte,macchiato","matcha,peach tea,thai tea,green tea,apple tea,lemon tea,jasmine tea,chocolate,white chocolate,mint chocolate,strawberry chocolate,honey lemon soda,peach lemon soda,green apple soda,strawberry lemon soda,blueberry soda",4.5,135
8,11.11 Gallery and Coffee,"['hybrid', 'bakery']",116/5 ถนน พโลรังฤทธิ์ ตำบล ในเมือง อำเภอ เมือง อุบลราชธานี 34000,6VJ8+9H เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.23102157,104.8664393,"['Free Wi-Fi', 'Toilets']","espresso,americano,cappuccino,mocha,latte,cold brew,macchiato","cocoa,matcha,peach tea,thai tea,lemon tea,jasmine tea,fresh milk,mango milk,caramel milk",4.7,26
9,Abe Specialty Coffee,['slowbar'],174 ในเมือง เมือง อุบลราชธานี 34000,6VJ4+V8 เทศบาลนครอุบลราชธานี อำเภอเมืองอุบลราชธานี อุบลราชธานี,15.23213662,104.8558509,"['Free Wi-Fi', 'Good for kids', 'Toilets']","espresso,americano,cappuccino,mocha,latte,macchiato","cocoa,thai tea,green tea,punch soda,blue hawaii soda,strawbery soda,blueberry soda,lychee soda",4.8,14
