song_id,artist_id,song_genre,user_id,n_listen,publish_year
886,180,4,2861,4,2010
599,409,1,2159,11,2021
468,322,1,2526,8,2005
616,430,3,151,10,2003
974,14,4,2974,11,2012
468,254,3,1947,0,2010
490,112,2,1220,15,2011
7,469,2,2449,11,2009
82,102,4,95,1,2009
650,215,1,2226,9,2020
576,315,2,2013,6,2006
117,55,2,2613,2,2008
96,132,1,862,12,2005
545,488,1,791,7,2005
964,10,5,1049,9,2011
749,351,5,1320,5,2000
276,52,2,2977,10,2017
388,42,1,2885,6,2008
752,465,4,1182,1,2002
656,407,3,567,5,2004
528,112,4,1610,6,2000
706,359,2,2325,9,2010
311,102,4,99,0,2011
621,103,1,1352,6,2007
915,60,5,1875,10,2018
713,468,4,476,15,2008
24,432,5,2683,4,2000
711,227,1,2484,1,2011
685,475,1,755,12,2018
346,325,3,2812,0,2008
829,131,5,1787,4,2015
619,330,5,2227,5,2015
722,417,3,497,15,2001
41,198,2,2292,9,2014
870,269,1,903,14,2000
876,403,3,1562,15,2010
261,24,2,1127,1,2021
219,449,2,1042,0,2006
927,222,5,826,1,2020
787,41,4,1760,7,2012
710,213,1,71,10,2011
226,325,1,56,12,2014
394,86,4,522,6,2020
117,493,5,1704,3,2014
954,135,5,1638,7,2012
854,479,3,1513,11,2018
611,165,1,592,10,2010
837,311,2,1308,0,2008
231,213,5,21,10,2007
858,103,2,1776,9,2002
58,56,2,2936,11,2020
983,490,1,1112,8,2019
48,51,3,2441,13,2014
106,301,5,1560,3,2001
820,158,2,2364,5,2003
187,174,3,161,3,2008
678,384,3,608,10,2012
990,486,1,285,10,2002
202,440,2,1923,12,2021
494,398,4,499,5,2002
13,291,3,605,14,2010
658,347,1,1975,7,2001
388,224,3,1758,0,2020
740,340,3,1248,5,2009
1,469,3,2598,7,2005
736,474,3,169,3,2002
927,342,4,501,8,2001
786,321,2,1751,15,2009
516,498,5,1511,8,2016
336,17,5,1402,13,2007
947,445,2,884,8,2014
877,368,4,62,3,2015
645,112,5,951,7,2021
478,216,2,1287,6,2016
752,72,3,1736,5,2017
435,267,4,1802,3,2005
344,491,5,1464,10,2021
245,37,1,683,7,2003
306,493,5,2274,1,2008
5,27,2,731,8,2003
916,442,1,2132,0,2001
477,247,3,1958,2,2012
533,188,4,1414,0,2016
610,486,3,2472,13,2012
902,257,4,2057,3,2006
237,268,1,2239,10,2015
877,326,1,635,11,2003
866,326,4,2765,15,2008
916,232,2,1346,4,2004
995,329,2,1716,3,2016
828,250,5,2626,3,2004
463,133,4,2957,15,2004
257,135,3,1251,11,2014
308,213,1,645,2,2011
458,175,1,2827,14,2014
746,481,4,1398,6,2008
409,454,2,2942,15,2006
495,235,4,1269,5,2008
949,278,3,2547,9,2017
323,489,4,1302,7,2017
913,247,2,1805,3,2006
623,11,5,1578,15,2016
171,30,1,207,10,2010
426,245,5,1170,10,2017
645,486,5,1796,3,2020
323,447,2,1277,1,2003
571,320,3,2628,7,2000
167,343,1,1625,10,2007
382,404,1,1230,7,2016
266,302,2,2843,10,2007
268,105,1,2071,1,2014
214,381,2,1215,7,2017
824,314,4,720,13,2008
602,274,4,2064,0,2010
930,487,2,933,14,2012
439,372,2,335,1,2002
769,226,5,84,15,2007
112,166,2,1342,15,2019
672,219,2,121,8,2006
540,263,3,1802,4,2003
659,262,3,2087,10,2011
143,338,4,1780,13,2009
712,347,5,2220,9,2015
692,328,2,1189,11,2004
356,153,4,2842,6,2001
816,216,1,2344,13,2007
647,458,5,106,1,2000
980,38,1,1168,15,2004
988,15,3,957,8,2010
355,153,5,997,2,2013
721,153,4,1702,12,2016
804,364,4,88,1,2007
134,470,2,443,3,2002
653,276,5,871,7,2002
11,29,2,2477,8,2020
400,489,3,2872,14,2018
943,288,3,1057,13,2015
402,23,4,2426,15,2007
260,438,2,959,1,2010
670,117,4,447,3,2005
450,242,1,1183,10,2005
426,114,5,563,11,2011
745,46,1,26,3,2012
910,44,5,753,6,2012
439,95,4,310,9,2003
139,167,4,775,0,2003
407,210,5,1069,0,2007
711,296,1,1822,2,2012
965,39,4,2003,9,2011
760,163,5,2512,13,2021
662,495,1,1645,11,2014
768,461,5,1049,12,2010
845,479,3,2268,6,2002
976,195,3,587,7,2016
598,374,3,516,4,2004
378,475,3,2388,4,2006
125,192,5,2169,2,2008
829,97,4,681,1,2004
355,451,5,1773,15,2019
332,492,2,1094,11,2001
524,27,5,2007,9,2017
586,31,2,2093,5,2005
571,401,2,840,2,2015
362,109,5,1352,13,2019
779,231,2,2187,5,2013
646,54,5,822,2,2015
928,198,3,584,8,2009
290,422,1,2769,3,2017
277,165,4,1297,6,2012
659,96,1,124,9,2017
335,353,4,2937,8,2017
444,209,5,193,6,2015
13,336,3,2807,3,2003
112,137,4,2934,13,2016
260,444,3,1195,12,2011
359,160,4,1014,4,2003
768,123,5,1654,4,2009
817,63,3,2094,1,2000
538,384,5,986,6,2012
995,215,3,1226,11,2010
183,383,5,2305,1,2003
275,389,3,1981,5,2010
119,237,3,2133,15,2006
589,106,1,2829,6,2021
497,478,2,863,2,2018
554,74,1,2200,1,2009
828,292,1,2747,4,2004
212,301,5,505,12,2003
252,241,5,1479,9,2017
737,468,1,2062,2,2016
526,200,1,2662,5,2005
989,59,2,516,11,2010
841,220,3,2521,3,2014
784,54,3,2606,6,2009
517,257,3,2271,4,2010
10,489,1,788,4,2016
296,196,3,2055,11,2021
355,390,2,440,13,2006
618,31,1,535,1,2015
885,223,5,1865,1,2001
882,12,1,2569,6,2012
951,219,3,1058,4,2013
223,275,3,2001,3,2006
615,296,2,1321,6,2008
502,84,2,607,15,2017
125,458,4,1971,5,2002
194,294,5,2591,7,2016
66,454,4,1521,13,2013
310,384,1,506,11,2015
745,178,2,2261,5,2021
954,330,2,2550,6,2017
635,301,4,466,0,2018
305,120,3,2613,14,2005
148,166,2,861,8,2019
254,136,1,2994,13,2010
529,310,5,2520,11,2018
973,346,5,2752,1,2011
126,255,3,1320,13,2016
121,110,2,987,7,2003
837,114,2,262,14,2018
105,197,1,2471,0,2015
169,17,1,754,1,2016
171,328,2,235,12,2010
95,169,2,180,6,2016
333,43,1,682,11,2002
660,63,2,333,3,2017
42,54,2,434,9,2009
606,427,1,1151,9,2006
648,436,2,2437,4,2020
556,325,5,843,7,2013
